"DM_INSTITUCION_COD_INSTITUCION","NOMBRE","CCB_NIT_INST","ORDEN","SUBORDEN","NIVEL_INSTITUCION","CLASIFICACION_ORGANICA","SECTOR","NATURALEZA_JURIDICA","TIPO_INSTITUCION","IDMUNICIPIO","MUNICIPIO","IDDEPARTAMENTO","DEPARTAMENTO","DIRECCION","FAX","EMAIL","CCB_TELEFONO","CCB_PAGINA_WEB","LONGITUD","LATITUD","ESTADO_INS","NOMBRE_REPRESENTANTE","CARGO_REPRESENTANTE"
"4915","PERSONERIA DE AGUADA",,"TERRITORIAL","MUNICIPAL","NO APLICA","ORGANOS DE CONTROL","NO APLICA","PERSONERÍA MUNICIPAL","NO APLICA","13","AGUADA","68","SANTANDER","{""bis"":false,""complemento"":""VACIA "",""direccionGenerada"":""VACIA""}",,,,"NO DISPONIBLE","-73,522394","6,161729","ACTIVA",,
"4919","PERSONERIA DE ALBANIA -- ALBANIA, CAQUETA",,"TERRITORIAL","MUNICIPAL","NO APLICA","ORGANOS DE CONTROL","NO APLICA","PERSONERÍA MUNICIPAL","NO APLICA","29","ALBANIA","18","CAQUETÁ","{""bis"":false,""complemento"":""VACIA "",""direccionGenerada"":""VACIA""}",,,,"NO DISPONIBLE","-75,878407","1,328981","ACTIVA",,
"5969","PERSONERIA DE SANTUARIO",,"TERRITORIAL","MUNICIPAL","NO APLICA","ORGANOS DE CONTROL","NO APLICA","PERSONERÍA MUNICIPAL","NO APLICA","687","SANTUARIO","66","RISARALDA","{""bis"":false,""complemento"":""VACIA "",""direccionGenerada"":""VACIA""}",,,,"NO DISPONIBLE","-75,964144","5,075748","ACTIVA",,
"8271","CONCEJO DE CONCEPCION",,"TERRITORIAL","MUNICIPAL","NO APLICA","CORPORACIÓN POLÍTICO ADMINISTRATIVA","NO APLICA","CONCEJO MUNICIPAL","NO APLICA","206","CONCEPCIÓN","5","ANTIOQUIA","{""bis"":false,""complemento"":""VACIA "",""direccionGenerada"":""VACIA""}",,,,"NO DISPONIBLE","-75,256581","6,394353","ACTIVA",,
"1631","CONCEJO DE CHOACHI",,"TERRITORIAL","MUNICIPAL","NO APLICA","CORPORACIÓN POLÍTICO ADMINISTRATIVA","NO APLICA","CONCEJO MUNICIPAL","NO APLICA","181","CHOACHÍ","25","CUNDINAMARCA","{""bis"":false,""complemento"":""VACIA "",""direccionGenerada"":""VACIA""}",,,,"NO DISPONIBLE","-73,922968","4,528659","ACTIVA",,
"5974","PERSONERIA DE SEGOVIA",,"TERRITORIAL","MUNICIPAL","NO APLICA","ORGANOS DE CONTROL","NO APLICA","PERSONERÍA MUNICIPAL","NO APLICA","736","SEGOVIA","5","ANTIOQUIA","{""bis"":false,""complemento"":""VACIA "",""direccionGenerada"":""VACIA""}",,,,"NO DISPONIBLE","-74,699095","7,079604","ACTIVA",,
"4927","PERSONERIA DE ALTOS DEL ROSARIO",,"TERRITORIAL","MUNICIPAL","NO APLICA","ORGANOS DE CONTROL","NO APLICA","PERSONERÍA MUNICIPAL","NO APLICA","30","ALTOS DEL ROSARIO","13","BOLÍVAR","{""bis"":false,""complemento"":""VACIA "",""direccionGenerada"":""VACIA""}",,,,"NO DISPONIBLE","-74,164365","8,792732","ACTIVA",,
"1632","CONCEJO DE CICUCO",,"TERRITORIAL","MUNICIPAL","NO APLICA","CORPORACIÓN POLÍTICO ADMINISTRATIVA","NO APLICA","CONCEJO MUNICIPAL","NO APLICA","188","CICUCO","13","BOLÍVAR","{""bis"":false,""complemento"":""VACIA "",""direccionGenerada"":""VACIA""}",,,,"NO DISPONIBLE","-74,64532","9,27682","ACTIVA",,
"1660","CONCEJO DE CURILLO",,"TERRITORIAL","MUNICIPAL","NO APLICA","CORPORACIÓN POLÍTICO ADMINISTRATIVA","NO APLICA","CONCEJO MUNICIPAL","NO APLICA","205","CURILLO","18","CAQUETÁ","{""bis"":false,""complemento"":""VACIA "",""direccionGenerada"":""VACIA""}",,,,"NO DISPONIBLE","-75,920771","1,033817","ACTIVA",,
"8184","CONCEJO DE ARGELIA -- ARGELIA, ANTIOQUIA",,"TERRITORIAL","MUNICIPAL","NO APLICA","CORPORACIÓN POLÍTICO ADMINISTRATIVA","NO APLICA","CONCEJO MUNICIPAL","NO APLICA","55","ARGELIA","5","ANTIOQUIA","{""bis"":false,""complemento"":""VACIA "",""direccionGenerada"":""VACIA""}",,,,"NO DISPONIBLE","-75,142186","5,730859","ACTIVA",,
