valor_original,valor_normalizado,raw_norm,stripped,codigo_dane_sugerido,nombre_dane_sugerido,departamento_sugerido,metodo_nuevo,confianza_nueva,estado_revision,motivo,top_1_codigo,top_1_nombre,top_1_departamento,top_1_score_nuevo,top_2_codigo,top_2_nombre,top_2_departamento,top_2_score_nuevo,top_3_codigo,top_3_nombre,top_3_departamento,top_3_score_nuevo
Aguazul,AGUAZUL,AGUAZUL,AGUAZUL,85010,AGUAZUL,CASANARE,exact,100.00,AUTO_APROBADO,coincidencia exacta con municipio DANE unico,,,,,,,,,,,,
"BOGOTÁ D,C",BOGOTA D C,BOGOTA D C,,11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",exact,100.00,AUTO_APROBADO,coincidencia exacta con municipio DANE unico,,,,,,,,,,,,
BUENAVENTURA,BUENAVENTURA,BUENAVENTURA,BUENAVENTURA,76109,BUENAVENTURA,VALLE DEL CAUCA,exact,100.00,AUTO_APROBADO,coincidencia exacta con municipio DANE unico,,,,,,,,,,,,
BUENAVENTURA  VALLE DEL CAUCA,BUENAVENTURA VALLE DEL CAUCA,BUENAVENTURA VALLE DEL CAUCA,BUENAVENTURA,76109,BUENAVENTURA,VALLE DEL CAUCA,exact,99.00,AUTO_APROBADO,coincidencia exacta tras limpiar contexto/departamento,,,,,,,,,,,,
BUENAVENTURA - VALLE DEL CAUCA,BUENAVENTURA VALLE DEL CAUCA,BUENAVENTURA VALLE DEL CAUCA,BUENAVENTURA,76109,BUENAVENTURA,VALLE DEL CAUCA,exact,99.00,AUTO_APROBADO,coincidencia exacta tras limpiar contexto/departamento,,,,,,,,,,,,
BUENAVENTURA -VALLE DEL CAUCA,BUENAVENTURA VALLE DEL CAUCA,BUENAVENTURA VALLE DEL CAUCA,BUENAVENTURA,76109,BUENAVENTURA,VALLE DEL CAUCA,exact,99.00,AUTO_APROBADO,coincidencia exacta tras limpiar contexto/departamento,,,,,,,,,,,,
BUENAVENTURA VALLE DEL CAUCA,BUENAVENTURA VALLE DEL CAUCA,BUENAVENTURA VALLE DEL CAUCA,BUENAVENTURA,76109,BUENAVENTURA,VALLE DEL CAUCA,exact,99.00,AUTO_APROBADO,coincidencia exacta tras limpiar contexto/departamento,,,,,,,,,,,,
BUENAVENTURA – - VALLE DEL CAUCA,BUENAVENTURA VALLE DEL CAUCA,BUENAVENTURA VALLE DEL CAUCA,BUENAVENTURA,76109,BUENAVENTURA,VALLE DEL CAUCA,exact,99.00,AUTO_APROBADO,coincidencia exacta tras limpiar contexto/departamento,,,,,,,,,,,,
BUENAVENTURA – VALLE DEL CAUCA,BUENAVENTURA VALLE DEL CAUCA,BUENAVENTURA VALLE DEL CAUCA,BUENAVENTURA,76109,BUENAVENTURA,VALLE DEL CAUCA,exact,99.00,AUTO_APROBADO,coincidencia exacta tras limpiar contexto/departamento,,,,,,,,,,,,
"BUENAVENTURA,  VALLE DEL CAUCA",BUENAVENTURA VALLE DEL CAUCA,BUENAVENTURA VALLE DEL CAUCA,BUENAVENTURA,76109,BUENAVENTURA,VALLE DEL CAUCA,exact,99.00,AUTO_APROBADO,coincidencia exacta tras limpiar contexto/departamento,,,,,,,,,,,,
BUENAVENTURA- VALLE DEL CAUCA,BUENAVENTURA VALLE DEL CAUCA,BUENAVENTURA VALLE DEL CAUCA,BUENAVENTURA,76109,BUENAVENTURA,VALLE DEL CAUCA,exact,99.00,AUTO_APROBADO,coincidencia exacta tras limpiar contexto/departamento,,,,,,,,,,,,
Bogotá D .C,BOGOTA D C,BOGOTA D C,,11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",exact,100.00,AUTO_APROBADO,coincidencia exacta con municipio DANE unico,,,,,,,,,,,,
"Bogotá D,.C",BOGOTA D C,BOGOTA D C,,11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",exact,100.00,AUTO_APROBADO,coincidencia exacta con municipio DANE unico,,,,,,,,,,,,
"Buenaventura , Valle del Cauca .",BUENAVENTURA VALLE DEL CAUCA,BUENAVENTURA VALLE DEL CAUCA,BUENAVENTURA,76109,BUENAVENTURA,VALLE DEL CAUCA,exact,99.00,AUTO_APROBADO,coincidencia exacta tras limpiar contexto/departamento,,,,,,,,,,,,
Buenaventura - Valle Del Cauca,BUENAVENTURA VALLE DEL CAUCA,BUENAVENTURA VALLE DEL CAUCA,BUENAVENTURA,76109,BUENAVENTURA,VALLE DEL CAUCA,exact,99.00,AUTO_APROBADO,coincidencia exacta tras limpiar contexto/departamento,,,,,,,,,,,,
"Buenaventura, Valle Del Cauca",BUENAVENTURA VALLE DEL CAUCA,BUENAVENTURA VALLE DEL CAUCA,BUENAVENTURA,76109,BUENAVENTURA,VALLE DEL CAUCA,exact,99.00,AUTO_APROBADO,coincidencia exacta tras limpiar contexto/departamento,,,,,,,,,,,,
CANDELARIA  VALLE DEL CAUCA,CANDELARIA VALLE DEL CAUCA,CANDELARIA VALLE DEL CAUCA,CANDELARIA,76130,CANDELARIA,VALLE DEL CAUCA,exact,97.00,AUTO_APROBADO,nombre ambiguo resuelto por departamento explicito en el texto,,,,,,,,,,,,
CANDELARIA VALLE DEL CAUCA,CANDELARIA VALLE DEL CAUCA,CANDELARIA VALLE DEL CAUCA,CANDELARIA,76130,CANDELARIA,VALLE DEL CAUCA,exact,97.00,AUTO_APROBADO,nombre ambiguo resuelto por departamento explicito en el texto,,,,,,,,,,,,
"CANDELARIA, VALLE DEL CAUCA",CANDELARIA VALLE DEL CAUCA,CANDELARIA VALLE DEL CAUCA,CANDELARIA,76130,CANDELARIA,VALLE DEL CAUCA,exact,97.00,AUTO_APROBADO,nombre ambiguo resuelto por departamento explicito en el texto,,,,,,,,,,,,
CANDELARIA-VALLE DEL CAUCA,CANDELARIA VALLE DEL CAUCA,CANDELARIA VALLE DEL CAUCA,CANDELARIA,76130,CANDELARIA,VALLE DEL CAUCA,exact,97.00,AUTO_APROBADO,nombre ambiguo resuelto por departamento explicito en el texto,,,,,,,,,,,,
"Candelaria , Valle del Cauca",CANDELARIA VALLE DEL CAUCA,CANDELARIA VALLE DEL CAUCA,CANDELARIA,76130,CANDELARIA,VALLE DEL CAUCA,exact,97.00,AUTO_APROBADO,nombre ambiguo resuelto por departamento explicito en el texto,,,,,,,,,,,,
Candelaria -Valle del Cauca,CANDELARIA VALLE DEL CAUCA,CANDELARIA VALLE DEL CAUCA,CANDELARIA,76130,CANDELARIA,VALLE DEL CAUCA,exact,97.00,AUTO_APROBADO,nombre ambiguo resuelto por departamento explicito en el texto,,,,,,,,,,,,
Candelaria / Valle del Cauca,CANDELARIA VALLE DEL CAUCA,CANDELARIA VALLE DEL CAUCA,CANDELARIA,76130,CANDELARIA,VALLE DEL CAUCA,exact,97.00,AUTO_APROBADO,nombre ambiguo resuelto por departamento explicito en el texto,,,,,,,,,,,,
Candelaria- Valle del Cauca,CANDELARIA VALLE DEL CAUCA,CANDELARIA VALLE DEL CAUCA,CANDELARIA,76130,CANDELARIA,VALLE DEL CAUCA,exact,97.00,AUTO_APROBADO,nombre ambiguo resuelto por departamento explicito en el texto,,,,,,,,,,,,
Caucasia,CAUCASIA,CAUCASIA,CAUCASIA,5154,CAUCASIA,ANTIOQUIA,exact,100.00,AUTO_APROBADO,coincidencia exacta con municipio DANE unico,,,,,,,,,,,,
LA TEBAIDA,LA TEBAIDA,LA TEBAIDA,LA TEBAIDA,63401,LA TEBAIDA,QUINDÍO,exact,100.00,AUTO_APROBADO,coincidencia exacta con municipio DANE unico,,,,,,,,,,,,
LA UNION VALLE DEL CAUCA.,LA UNION VALLE DEL CAUCA,LA UNION VALLE DEL CAUCA,LA UNION,76400,LA UNIÓN,VALLE DEL CAUCA,exact,97.00,AUTO_APROBADO,nombre ambiguo resuelto por departamento explicito en el texto,,,,,,,,,,,,
La Unión  Valle del Cauca,LA UNION VALLE DEL CAUCA,LA UNION VALLE DEL CAUCA,LA UNION,76400,LA UNIÓN,VALLE DEL CAUCA,exact,97.00,AUTO_APROBADO,nombre ambiguo resuelto por departamento explicito en el texto,,,,,,,,,,,,
