valor_original,valor_normalizado,raw_norm,stripped,codigo_dane_sugerido,nombre_dane_sugerido,departamento_sugerido,metodo_nuevo,confianza_nueva,estado_revision,motivo,top_1_codigo,top_1_nombre,top_1_departamento,top_1_score_nuevo,top_2_codigo,top_2_nombre,top_2_departamento,top_2_score_nuevo,top_3_codigo,top_3_nombre,top_3_departamento,top_3_score_nuevo
Aguacal Casanare,AGUACAL CASANARE,AGUACAL CASANARE,AGUACAL,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,68318,GUACA,SANTANDER,83.33,68013,AGUADA,SANTANDER,76.92,47318,GUAMAL,MAGDALENA,76.92
Aguam Casanare,AGUAM CASANARE,AGUAM CASANARE,AGUAM,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,76233,DAGUA,VALLE DEL CAUCA,80.00,73319,GUAMO,TOLIMA,80.00,68013,AGUADA,SANTANDER,72.73
Aguazul,AGUAZUL,AGUAZUL,AGUAZUL,85010,AGUAZUL,CASANARE,exact,100.00,AUTO_APROBADO,coincidencia exacta con municipio DANE unico,,,,,,,,,,,,
BGOTÁ,BGOTA,BGOTA,BGOTA,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,15097,BOAVITA,BOYACÁ,66.67,11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",66.67,25214,COTA,CUNDINAMARCA,66.67
BOGOTA,BOGOTA,BOGOTA,BOGOTA,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",75.00,15755,SOCOTÁ,BOYACÁ,66.67,15097,BOAVITA,BOYACÁ,61.54
BOGOTA  D.C,BOGOTA DC,BOGOTA DC,BOGOTA,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",75.00,15755,SOCOTÁ,BOYACÁ,66.67,15097,BOAVITA,BOYACÁ,61.54
BOGOTA D C,BOGOTA DC,BOGOTA DC,BOGOTA,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",75.00,15755,SOCOTÁ,BOYACÁ,66.67,15097,BOAVITA,BOYACÁ,61.54
BOGOTA.D.C,BOGOTA DC,BOGOTA DC,BOGOTA,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",75.00,15755,SOCOTÁ,BOYACÁ,66.67,15097,BOAVITA,BOYACÁ,61.54
BOGOTAD.C,BOGOTAD C,BOGOTAD C,BOGOTAD C,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",94.74,27073,BAGADÓ,CHOCÓ,53.33,25099,BOJACÁ,CUNDINAMARCA,53.33
BOGOTA|,BOGOTA,BOGOTA,BOGOTA,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",75.00,15755,SOCOTÁ,BOYACÁ,66.67,15097,BOAVITA,BOYACÁ,61.54
BOGOT´Á,BOGOT A,BOGOT A,BOGOT A,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",70.59,15755,SOCOTÁ,BOYACÁ,61.54,15097,BOAVITA,BOYACÁ,57.14
