valor_original,valor_normalizado,raw_norm,stripped,codigo_dane_sugerido,nombre_dane_sugerido,departamento_sugerido,metodo_nuevo,confianza_nueva,estado_revision,motivo,top_1_codigo,top_1_nombre,top_1_departamento,top_1_score_nuevo,top_2_codigo,top_2_nombre,top_2_departamento,top_2_score_nuevo,top_3_codigo,top_3_nombre,top_3_departamento,top_3_score_nuevo,raw_norm_2,departamento_detectado,texto_sin_departamento,core_filtrado_2,estado_final_2,codigo_dane_final_2,nombre_dane_final_2,departamento_final_2,metodo_final_2,confianza_final_2,motivo_final_2,final_top_1_codigo,final_top_1_nombre,final_top_1_departamento,final_top_1_score,final_top_1_alias,final_top_2_codigo,final_top_2_nombre,final_top_2_departamento,final_top_2_score,final_top_2_alias,final_top_3_codigo,final_top_3_nombre,final_top_3_departamento,final_top_3_score,final_top_3_alias
Aguacal Casanare,AGUACAL CASANARE,AGUACAL CASANARE,AGUACAL,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,68318,GUACA,SANTANDER,83.33,68013,AGUADA,SANTANDER,76.92,47318,GUAMAL,MAGDALENA,76.92,AGUACAL CASANARE,CASANARE,AGUACAL,AGUACAL,AUTOAPROBADO,85010,AGUAZUL,CASANARE,alias_manual_exacto,99.0,alias manual exacto: AGUACAL,85010,AGUAZUL,CASANARE,100.0,AGUACAL,68318,GUACA,SANTANDER,83.33,GUACA,25322,GUASCA,CUNDINAMARCA,76.92,GUASCA
Aguam Casanare,AGUAM CASANARE,AGUAM CASANARE,AGUAM,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,76233,DAGUA,VALLE DEL CAUCA,80.0,73319,GUAMO,TOLIMA,80.0,68013,AGUADA,SANTANDER,72.73,AGUAM CASANARE,CASANARE,AGUAM,AGUAM,AUTOAPROBADO,85010,AGUAZUL,CASANARE,alias_manual_exacto,99.0,alias manual exacto: AGUAM,85010,AGUAZUL,CASANARE,100.0,AGUAM,73319,GUAMO,TOLIMA,80.0,GUAMO,76233,DAGUA,VALLE DEL CAUCA,80.0,DAGUA
BGOTÁ,BGOTA,BGOTA,BGOTA,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,15097,BOAVITA,BOYACÁ,66.67,11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",66.67,25214,COTA,CUNDINAMARCA,66.67,BGOTA,,BGOTA,BGOTA,AUTOAPROBADO,11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",manual_bogota,99.5,regla manual para variantes de Bogotá,11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",100.0,BGOTA,15097,BOAVITA,BOYACÁ,66.67,BOAVITA,15822,TOTA,BOYACÁ,66.67,TOTA
BOGOTA,BOGOTA,BOGOTA,BOGOTA,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",75.0,15755,SOCOTÁ,BOYACÁ,66.67,15097,BOAVITA,BOYACÁ,61.54,BOGOTA,,BOGOTA,BOGOTA,AUTOAPROBADO,11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",manual_bogota,99.5,regla manual para variantes de Bogotá,11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",100.0,BOGOTA,15755,SOCOTÁ,BOYACÁ,66.67,SOCOTA,15097,BOAVITA,BOYACÁ,61.54,BOAVITA
BOGOTA  D.C,BOGOTA DC,BOGOTA DC,BOGOTA,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",75.0,15755,SOCOTÁ,BOYACÁ,66.67,15097,BOAVITA,BOYACÁ,61.54,BOGOTA D C,BOGOTA D C,,,AUTOAPROBADO,11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",manual_bogota,99.5,regla manual para variantes de Bogotá,11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",100.0,BOGOTA D C,05101,CIUDAD BOLÍVAR,ANTIOQUIA,50.0,CIUDAD BOLIVAR,15104,BOYACÁ,BOYACÁ,50.0,BOYACA
BOGOTA D C,BOGOTA DC,BOGOTA DC,BOGOTA,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",75.0,15755,SOCOTÁ,BOYACÁ,66.67,15097,BOAVITA,BOYACÁ,61.54,BOGOTA D C,BOGOTA D C,,,AUTOAPROBADO,11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",manual_bogota,99.5,regla manual para variantes de Bogotá,11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",100.0,BOGOTA D C,05101,CIUDAD BOLÍVAR,ANTIOQUIA,50.0,CIUDAD BOLIVAR,15104,BOYACÁ,BOYACÁ,50.0,BOYACA
BOGOTA.D.C,BOGOTA DC,BOGOTA DC,BOGOTA,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",75.0,15755,SOCOTÁ,BOYACÁ,66.67,15097,BOAVITA,BOYACÁ,61.54,BOGOTA D C,BOGOTA D C,,,AUTOAPROBADO,11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",manual_bogota,99.5,regla manual para variantes de Bogotá,11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",100.0,BOGOTA D C,05101,CIUDAD BOLÍVAR,ANTIOQUIA,50.0,CIUDAD BOLIVAR,15104,BOYACÁ,BOYACÁ,50.0,BOYACA
BOGOTAD.C,BOGOTAD C,BOGOTAD C,BOGOTAD C,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",94.74,27073,BAGADÓ,CHOCÓ,53.33,25099,BOJACÁ,CUNDINAMARCA,53.33,BOGOTA D C,BOGOTA D C,,,AUTOAPROBADO,11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",manual_bogota,99.5,regla manual para variantes de Bogotá,11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",100.0,BOGOTA D C,05101,CIUDAD BOLÍVAR,ANTIOQUIA,50.0,CIUDAD BOLIVAR,15104,BOYACÁ,BOYACÁ,50.0,BOYACA
BOGOTA|,BOGOTA,BOGOTA,BOGOTA,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",75.0,15755,SOCOTÁ,BOYACÁ,66.67,15097,BOAVITA,BOYACÁ,61.54,BOGOTA,,BOGOTA,BOGOTA,AUTOAPROBADO,11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",manual_bogota,99.5,regla manual para variantes de Bogotá,11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",100.0,BOGOTA,15755,SOCOTÁ,BOYACÁ,66.67,SOCOTA,15097,BOAVITA,BOYACÁ,61.54,BOAVITA
BOGOT´Á,BOGOT A,BOGOT A,BOGOT A,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",70.59,15755,SOCOTÁ,BOYACÁ,61.54,15097,BOAVITA,BOYACÁ,57.14,BOGOT A,,BOGOT A,BOGOT A,AUTOAPROBADO,11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",manual_bogota,99.5,regla manual para variantes de Bogotá,11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",100.0,BOGOT A,54003,ÁBREGO,NORTE DE SANTANDER,61.54,ABREGO,68464,MOGOTES,SANTANDER,57.14,MOGOTES
