valor_original,valor_normalizado,codigo_dane,metodo,confianza,revisado
Aguazul,AGUAZUL,85010,exact,100.00,True
"BOGOTÁ D,C",BOGOTA D C,11001,exact,100.00,True
BUENAVENTURA,BUENAVENTURA,76109,exact,100.00,True
BUENAVENTURA  VALLE DEL CAUCA,BUENAVENTURA VALLE DEL CAUCA,76109,exact,99.00,True
BUENAVENTURA - VALLE DEL CAUCA,BUENAVENTURA VALLE DEL CAUCA,76109,exact,99.00,True
BUENAVENTURA -VALLE DEL CAUCA,BUENAVENTURA VALLE DEL CAUCA,76109,exact,99.00,True
BUENAVENTURA VALLE DEL CAUCA,BUENAVENTURA VALLE DEL CAUCA,76109,exact,99.00,True
BUENAVENTURA – - VALLE DEL CAUCA,BUENAVENTURA VALLE DEL CAUCA,76109,exact,99.00,True
BUENAVENTURA – VALLE DEL CAUCA,BUENAVENTURA VALLE DEL CAUCA,76109,exact,99.00,True
"BUENAVENTURA,  VALLE DEL CAUCA",BUENAVENTURA VALLE DEL CAUCA,76109,exact,99.00,True
BUENAVENTURA- VALLE DEL CAUCA,BUENAVENTURA VALLE DEL CAUCA,76109,exact,99.00,True
Bogotá D .C,BOGOTA D C,11001,exact,100.00,True
"Bogotá D,.C",BOGOTA D C,11001,exact,100.00,True
"Buenaventura , Valle del Cauca .",BUENAVENTURA VALLE DEL CAUCA,76109,exact,99.00,True
Buenaventura - Valle Del Cauca,BUENAVENTURA VALLE DEL CAUCA,76109,exact,99.00,True
"Buenaventura, Valle Del Cauca",BUENAVENTURA VALLE DEL CAUCA,76109,exact,99.00,True
CANDELARIA  VALLE DEL CAUCA,CANDELARIA VALLE DEL CAUCA,76130,exact,97.00,True
CANDELARIA VALLE DEL CAUCA,CANDELARIA VALLE DEL CAUCA,76130,exact,97.00,True
"CANDELARIA, VALLE DEL CAUCA",CANDELARIA VALLE DEL CAUCA,76130,exact,97.00,True
CANDELARIA-VALLE DEL CAUCA,CANDELARIA VALLE DEL CAUCA,76130,exact,97.00,True
"Candelaria , Valle del Cauca",CANDELARIA VALLE DEL CAUCA,76130,exact,97.00,True
Candelaria -Valle del Cauca,CANDELARIA VALLE DEL CAUCA,76130,exact,97.00,True
Candelaria / Valle del Cauca,CANDELARIA VALLE DEL CAUCA,76130,exact,97.00,True
Candelaria- Valle del Cauca,CANDELARIA VALLE DEL CAUCA,76130,exact,97.00,True
Caucasia,CAUCASIA,5154,exact,100.00,True
LA TEBAIDA,LA TEBAIDA,63401,exact,100.00,True
LA UNION VALLE DEL CAUCA.,LA UNION VALLE DEL CAUCA,76400,exact,97.00,True
La Unión  Valle del Cauca,LA UNION VALLE DEL CAUCA,76400,exact,97.00,True
"La Unión , Valle del Cauca",LA UNION VALLE DEL CAUCA,76400,exact,97.00,True
La Unión - Valle del Cauca,LA UNION VALLE DEL CAUCA,76400,exact,97.00,True
"La Unión - Valle del Cauca ,",LA UNION VALLE DEL CAUCA,76400,exact,97.00,True
La Unión Valle del Cauca,LA UNION VALLE DEL CAUCA,76400,exact,97.00,True
La Unión Valle del Cauca .,LA UNION VALLE DEL CAUCA,76400,exact,97.00,True
La Unión – Valle del Cauca,LA UNION VALLE DEL CAUCA,76400,exact,97.00,True
La Unión-Valle del Cauca,LA UNION VALLE DEL CAUCA,76400,exact,97.00,True
PALMIRA,PALMIRA,76520,exact,100.00,True
"PALMIRA , VALLE DEL CAUCA",PALMIRA VALLE DEL CAUCA,76520,exact,99.00,True
PALMIRA - VALLE DEL CAUCA,PALMIRA VALLE DEL CAUCA,76520,exact,99.00,True
PINCHOTE,PINCHOTE,68549,exact,100.00,True
Palmira,PALMIRA,76520,exact,100.00,True
Palmira  Valle del Cauca,PALMIRA VALLE DEL CAUCA,76520,exact,99.00,True
"Palmira ,",PALMIRA,76520,exact,100.00,True
"Palmira , Valle del Cauca",PALMIRA VALLE DEL CAUCA,76520,exact,99.00,True
Palmira Valle Del Cauca,PALMIRA VALLE DEL CAUCA,76520,exact,99.00,True
"Palmira, Valle Del Cauca",PALMIRA VALLE DEL CAUCA,76520,exact,99.00,True
Palmira-Valle Del Cauca,PALMIRA VALLE DEL CAUCA,76520,exact,99.00,True
ROLDANILLO,ROLDANILLO,76622,exact,100.00,True
ROLDANILLO  VALLE DEL CAUCA,ROLDANILLO VALLE DEL CAUCA,76622,exact,99.00,True
ROLDANILLO - VALLE DEL CAUCA,ROLDANILLO VALLE DEL CAUCA,76622,exact,99.00,True
ROLDANILLO -VALLE DEL CAUCA,ROLDANILLO VALLE DEL CAUCA,76622,exact,99.00,True
ROLDANILLO- VALLE DEL CAUCA,ROLDANILLO VALLE DEL CAUCA,76622,exact,99.00,True
Restrepo - Valle del Cauca,RESTREPO VALLE DEL CAUCA,76606,exact,97.00,True
Restrepo Valle del Cauca,RESTREPO VALLE DEL CAUCA,76606,exact,97.00,True
"Roldanillo , Valle del Cauca",ROLDANILLO VALLE DEL CAUCA,76622,exact,99.00,True
"Roldanillo , Valle del Cauca ,",ROLDANILLO VALLE DEL CAUCA,76622,exact,99.00,True
Roldanillo Valle del Cauca,ROLDANILLO VALLE DEL CAUCA,76622,exact,99.00,True
"Roldanillo, Valle del Cauca",ROLDANILLO VALLE DEL CAUCA,76622,exact,99.00,True
SAN  JOSE  DE  CUCUTA,SAN JOSE DE CUCUTA,54001,exact,100.00,True
SAN JOSE  DE  CUCUTA,SAN JOSE DE CUCUTA,54001,exact,100.00,True
SAN JOSE  DE CUCUTA,SAN JOSE DE CUCUTA,54001,exact,100.00,True
SAN JOSE DE  CÚCUTA,SAN JOSE DE CUCUTA,54001,exact,100.00,True
SAN JOSE DE CUCUTA-,SAN JOSE DE CUCUTA,54001,exact,100.00,True
SAN JOSE DE CUCUTA|,SAN JOSE DE CUCUTA,54001,exact,100.00,True
SANTIAGO  DE CALI,SANTIAGO DE CALI,76001,exact,100.00,True
SANTIAGO DE  CALI,SANTIAGO DE CALI,76001,exact,100.00,True
SANTIAGO DE CALI,SANTIAGO DE CALI,76001,exact,100.00,True
San José de Cúcuta,SAN JOSE DE CUCUTA,54001,exact,100.00,True
"San José de Cúcuta ,",SAN JOSE DE CUCUTA,54001,exact,100.00,True
Santiago de Cali,SANTIAGO DE CALI,76001,exact,100.00,True
"Santiago de Cali ,",SANTIAGO DE CALI,76001,exact,100.00,True
Santiago de Cali|,SANTIAGO DE CALI,76001,exact,100.00,True
TULUA,TULUA,76834,exact,100.00,True
TULUA  VALLE DEL CAUCA,TULUA VALLE DEL CAUCA,76834,exact,99.00,True
TULUA - VALLE DEL CAUCA,TULUA VALLE DEL CAUCA,76834,exact,99.00,True
TULUÁ,TULUA,76834,exact,100.00,True
TULUÁ -VALLE DEL CAUCA,TULUA VALLE DEL CAUCA,76834,exact,99.00,True
TULUÁ VALLE DEL CAUCA,TULUA VALLE DEL CAUCA,76834,exact,99.00,True
TULUÁ-VALLE DEL CAUCA,TULUA VALLE DEL CAUCA,76834,exact,99.00,True
Tulua - Valle Del Cauca,TULUA VALLE DEL CAUCA,76834,exact,99.00,True
Tulua- Valle Del Cauca,TULUA VALLE DEL CAUCA,76834,exact,99.00,True
"Tuluá , Valle del Cauca",TULUA VALLE DEL CAUCA,76834,exact,99.00,True
Tuluá - Valle del Cauca,TULUA VALLE DEL CAUCA,76834,exact,99.00,True
Tuluá Valle del Cauca,TULUA VALLE DEL CAUCA,76834,exact,99.00,True
"Tuluá, Valle del Cauca",TULUA VALLE DEL CAUCA,76834,exact,99.00,True
Valle del Cauca - Candelaria,VALLE DEL CAUCA CANDELARIA,76130,exact,97.00,True
Valle del Cauca Buenaventura,VALLE DEL CAUCA BUENAVENTURA,76109,exact,99.00,True
Valle del Cauca Tulua,VALLE DEL CAUCA TULUA,76834,exact,99.00,True
ZARZAL,ZARZAL,76895,exact,100.00,True
"ZARZAL , VALLE DEL CAUCA",ZARZAL VALLE DEL CAUCA,76895,exact,99.00,True
ZARZAL - VALLE DEL CAUCA,ZARZAL VALLE DEL CAUCA,76895,exact,99.00,True
ZARZAL VALLE DEL CAUCA,ZARZAL VALLE DEL CAUCA,76895,exact,99.00,True
ABREGO,ABREGO,54003,exact,100.00,True
ABREGO NORTE DE SANTANDER,ABREGO NORTE DE SANTANDER,54003,exact,99.00,True
ABREGO-NORTE DE SANTANDER,ABREGO NORTE DE SANTANDER,54003,exact,99.00,True
ACACIAS,ACACIAS,50006,exact,100.00,True
ACACIAS - META,ACACIAS META,50006,exact,99.00,True
ACACÍAS,ACACIAS,50006,exact,100.00,True
ACACÍAS META,ACACIAS META,50006,exact,99.00,True
ACANDI,ACANDI,27006,exact,100.00,True
ACANDÌ-CHOCO,ACANDI CHOCO,27006,exact,99.00,True
ACANDÍ CHOCÓ,ACANDI CHOCO,27006,exact,99.00,True
