valor_original,valor_normalizado,raw_norm,stripped,codigo_dane_sugerido,nombre_dane_sugerido,departamento_sugerido,metodo_nuevo,confianza_nueva,estado_revision,motivo,top_1_codigo,top_1_nombre,top_1_departamento,top_1_score_nuevo,top_2_codigo,top_2_nombre,top_2_departamento,top_2_score_nuevo,top_3_codigo,top_3_nombre,top_3_departamento,top_3_score_nuevo,raw_norm_2,departamento_detectado,texto_sin_departamento,core_filtrado_2,estado_final_2,codigo_dane_final_2,nombre_dane_final_2,departamento_final_2,metodo_final_2,confianza_final_2,motivo_final_2,final_top_1_codigo,final_top_1_nombre,final_top_1_departamento,final_top_1_score,final_top_1_alias,final_top_2_codigo,final_top_2_nombre,final_top_2_departamento,final_top_2_score,final_top_2_alias,final_top_3_codigo,final_top_3_nombre,final_top_3_departamento,final_top_3_score,final_top_3_alias
BARRANQUILLA COMERCIALIZADORA INVEROFI S.A.S.,BARRANQUILLA COMERCIALIZADORA INVEROFI S A S,BARRANQUILLA COMERCIALIZADORA INVEROFI S A S,BARRANQUILLA COMERCIALIZADORA INVEROFI S A S,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,8001,BARRANQUILLA,ATLÁNTICO,42.86,94343,BARRANCOMINAS,GUAINÍA,42.11,50150,CASTILLA LA NUEVA,META,39.34,BARRANQUILLA COMERCIALIZADORA INVEROFI S A S,,BARRANQUILLA COMERCIALIZADORA INVEROFI S A S,BARRANQUILLA COMERCIALIZADORA INVEROFI S A S,IGNORAR,,,,,,contiene términos institucionales/judiciales/administrativos; no debe mapearse a municipio,08001,BARRANQUILLA,ATLÁNTICO,42.86,BARRANQUILLA,94343,BARRANCOMINAS,GUAINÍA,42.11,BARRANCOMINAS,18150,CARTAGENA DEL CHAIRÁ,CAQUETÁ,40.62,CARTAGENA DEL CHAIRA
BARRANQUILLA SMJC - DC,BARRANQUILLA SMJC DC,BARRANQUILLA SMJC DC,BARRANQUILLA SMJC,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,8001,BARRANQUILLA,ATLÁNTICO,82.76,44078,BARRANCAS,LA GUAJIRA,61.54,94343,BARRANCOMINAS,GUAINÍA,60.0,BARRANQUILLA SMJC DC,,BARRANQUILLA SMJC DC,BARRANQUILLA SMJC,IGNORAR,,,,,,contiene términos institucionales/judiciales/administrativos; no debe mapearse a municipio,08001,BARRANQUILLA,ATLÁNTICO,82.76,BARRANQUILLA,44078,BARRANCAS,LA GUAJIRA,61.54,BARRANCAS,50110,BARRANCA DE UPÍA,META,60.0,BARRANCA UPIA
BARRANQUILLA SMJC - WEB - DT No. 202300084123,BARRANQUILLA SMJC WEB DT NO 202300084123,BARRANQUILLA SMJC WEB DT NO 202300084123,BARRANQUILLA SMJC WEB DT NO 202300084123,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,8001,BARRANQUILLA,ATLÁNTICO,46.15,13074,BARRANCO DE LOBA,BOLÍVAR,39.29,15667,SAN LUIS DE GACENO,BOYACÁ,34.48,BARRANQUILLA SMJC WEB DT NO 202300084123,,BARRANQUILLA SMJC WEB DT NO 202300084123,BARRANQUILLA SMJC WEB 202300084123,IGNORAR,,,,,,contiene términos institucionales/judiciales/administrativos; no debe mapearse a municipio,08001,BARRANQUILLA,ATLÁNTICO,52.17,BARRANQUILLA,13074,BARRANCO DE LOBA,BOLÍVAR,40.0,BARRANCO DE LOBA,73443,SAN SEBASTIÁN DE MARIQUITA,TOLIMA,40.0,SAN SEBASTIAN DE MARIQUITA
Consejo Seccional de la Judicatura del Bolívar,CONSEJO SECCIONAL DE LA JUDICATURA DEL BOLIVAR,CONSEJO SECCIONAL DE LA JUDICATURA DEL BOLIVAR,CONSEJO SECCIONAL DE LA JUDICATURA DEL,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,27493,NUEVO BELÉN DE BAJIRÁ,CHOCÓ,50.85,73443,SAN SEBASTIÁN DE MARIQUITA,TOLIMA,43.75,13001,CARTAGENA DE INDIAS,BOLÍVAR,42.6,CONSEJO SECCIONAL DE LA JUDICATURA DEL BOLIVAR,BOLIVAR,CONSEJO SECCIONAL DE LA JUDICATURA DEL,CONSEJO SECCIONAL JUDICATURA,IGNORAR,,,,,,contiene términos institucionales/judiciales/administrativos; no debe mapearse a municipio,44098,DISTRACCIÓN,LA GUAJIRA,51.28,DISTRACCION,50680,SAN CARLOS DE GUAROA,META,50.0,SAN CARLOS DE GUAROA,68211,CONTRATACIÓN,SANTANDER,50.0,CONTRATACION
Consejo Superior de la Judicatura COMPETENCIA MULTIPLE PALMIRA VALLE,CONSEJO SUPERIOR DE LA JUDICATURA COMPETENCIA MULTIPLE PALMIRA VALLE,CONSEJO SUPERIOR DE LA JUDICATURA COMPETENCIA MULTIPLE PALMIRA VALLE,CONSEJO SUPERIOR DE LA JUDICATURA COMPETENCIA MULTIPLE PALMIRA VALLE,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,5664,SAN PEDRO DE LOS MILAGROS,ANTIOQUIA,36.56,52694,SAN PEDRO DE CARTAGO,NARIÑO,34.09,27250,EL LITORAL DEL SAN JUAN,CHOCÓ,32.97,CONSEJO SUPERIOR DE LA JUDICATURA COMPETENCIA MULTIPLE PALMIRA VALLE,VALLE DEL CAUCA,CONSEJO SUPERIOR DE LA JUDICATURA COMPETENCIA MULTIPLE PALMIRA,CONSEJO SUPERIOR JUDICATURA COMPETENCIA MULTIPLE PALMIRA,IGNORAR,,,,,,contiene términos institucionales/judiciales/administrativos; no debe mapearse a municipio,23586,PURÍSIMA DE LA CONCEPCIÓN,CÓRDOBA,41.98,PURISIMA DE LA CONCEPCION,50450,PUERTO CONCORDIA,META,38.89,PUERTO CONCORDIA,20443,MANAURE BALCÓN DEL CESAR,CESAR,37.5,MANAURE BALCON DEL CESAR
Consejo Superior de la Judicatura MUNICIPAL CAMPOALEGRE HUILA,CONSEJO SUPERIOR DE LA JUDICATURA MUNICIPAL CAMPOALEGRE HUILA,CONSEJO SUPERIOR DE LA JUDICATURA MUNICIPAL CAMPOALEGRE HUILA,CONSEJO SUPERIOR DE LA JUDICATURA MUNICIPAL CAMPOALEGRE,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,5664,SAN PEDRO DE LOS MILAGROS,ANTIOQUIA,42.5,47161,CERRO DE SAN ANTONIO,MAGDALENA,40.0,52694,SAN PEDRO DE CARTAGO,NARIÑO,40.0,CONSEJO SUPERIOR DE LA JUDICATURA MUNICIPAL CAMPOALEGRE HUILA,HUILA,CONSEJO SUPERIOR DE LA JUDICATURA MUNICIPAL CAMPOALEGRE,CONSEJO SUPERIOR JUDICATURA CAMPOALEGRE,IGNORAR,,,,,,contiene términos institucionales/judiciales/administrativos; no debe mapearse a municipio,41132,CAMPOALEGRE,HUILA,52.0,CAMPOALEGRE,18150,CARTAGENA DEL CHAIRÁ,CAQUETÁ,44.07,CARTAGENA DEL CHAIRA,50680,SAN CARLOS DE GUAROA,META,44.07,SAN CARLOS DE GUAROA
LABORALES SIMITÍ BOLÍVAR,LABORALES SIMITI BOLIVAR,LABORALES SIMITI BOLIVAR,LABORALES SIMITI,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,13744,SIMITÍ,BOLÍVAR,58.55,13473,MORALES,BOLÍVAR,56.17,19473,MORALES,CAUCA,52.17,LABORALES SIMITI BOLIVAR,BOLIVAR,LABORALES SIMITI,LABORALES SIMITI,IGNORAR,,,,,,contiene términos institucionales/judiciales/administrativos; no debe mapearse a municipio,13744,SIMITÍ,BOLÍVAR,62.55,SIMITI,19473,MORALES,CAUCA,52.17,MORALES,66682,SANTA ROSA DE CABAL,RISARALDA,51.43,SANTA ROSA DE CABAL
CONSEJO SECCIONAL DE LA JUDICATURA DEL VALLE DEL CAUCA,CONSEJO SECCIONAL DE LA JUDICATURA DEL VALLE DEL CAUCA,CONSEJO SECCIONAL DE LA JUDICATURA DEL VALLE DEL CAUCA,CONSEJO SECCIONAL DE LA JUDICATURA DEL,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,27493,NUEVO BELÉN DE BAJIRÁ,CHOCÓ,50.85,73443,SAN SEBASTIÁN DE MARIQUITA,TOLIMA,43.75,15332,GÜICÁN DE LA SIERRA,BOYACÁ,42.11,CONSEJO SECCIONAL DE LA JUDICATURA DEL VALLE DEL CAUCA,VALLE DEL CAUCA,CONSEJO SECCIONAL DE LA JUDICATURA DEL,CONSEJO SECCIONAL JUDICATURA,IGNORAR,,,,,,contiene términos institucionales/judiciales/administrativos; no debe mapearse a municipio,44098,DISTRACCIÓN,LA GUAJIRA,51.28,DISTRACCION,50680,SAN CARLOS DE GUAROA,META,50.0,SAN CARLOS DE GUAROA,68211,CONTRATACIÓN,SANTANDER,50.0,CONTRATACION
Consejo Seccional de la Judicatura de Antioquia,CONSEJO SECCIONAL DE LA JUDICATURA DE ANTIOQUIA,CONSEJO SECCIONAL DE LA JUDICATURA DE ANTIOQUIA,CONSEJO SECCIONAL DE LA JUDICATURA DE,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,27493,NUEVO BELÉN DE BAJIRÁ,CHOCÓ,51.72,13655,SAN JACINTO DEL CAUCA,BOLÍVAR,44.83,5658,SAN JOSÉ DE LA MONTAÑA,ANTIOQUIA,44.68,CONSEJO SECCIONAL DE LA JUDICATURA DE ANTIOQUIA,ANTIOQUIA,CONSEJO SECCIONAL DE LA JUDICATURA DE,CONSEJO SECCIONAL JUDICATURA,IGNORAR,,,,,,contiene términos institucionales/judiciales/administrativos; no debe mapearse a municipio,05686,SANTA ROSA DE OSOS,ANTIOQUIA,54.51,SANTA ROSA OSOS,44098,DISTRACCIÓN,LA GUAJIRA,51.28,DISTRACCION,05647,SAN ANDRÉS DE CUERQUÍA,ANTIOQUIA,50.55,SAN ANDRES CUERQUIA
Consejo Seccional de la Judicatura de Santander,CONSEJO SECCIONAL DE LA JUDICATURA DE SANTANDER,CONSEJO SECCIONAL DE LA JUDICATURA DE SANTANDER,CONSEJO SECCIONAL DE LA JUDICATURA DE,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,27493,NUEVO BELÉN DE BAJIRÁ,CHOCÓ,51.72,13655,SAN JACINTO DEL CAUCA,BOLÍVAR,44.83,73443,SAN SEBASTIÁN DE MARIQUITA,TOLIMA,44.44,CONSEJO SECCIONAL DE LA JUDICATURA DE SANTAN DER,SANTAN DER,CONSEJO SECCIONAL DE LA JUDICATURA DE,CONSEJO SECCIONAL JUDICATURA,IGNORAR,,,,,,contiene términos institucionales/judiciales/administrativos; no debe mapearse a municipio,68211,CONTRATACIÓN,SANTANDER,58.0,CONTRATACION,68207,CONCEPCIÓN,SANTANDER,55.37,CONCEPCION,68684,SAN JOSÉ DE MIRANDA,SANTANDER,53.45,SAN JOSE MIRANDA
