valor_original,valor_normalizado,raw_norm,stripped,codigo_dane_sugerido,nombre_dane_sugerido,departamento_sugerido,metodo_nuevo,confianza_nueva,estado_revision,motivo,top_1_codigo,top_1_nombre,top_1_departamento,top_1_score_nuevo,top_2_codigo,top_2_nombre,top_2_departamento,top_2_score_nuevo,top_3_codigo,top_3_nombre,top_3_departamento,top_3_score_nuevo,raw_norm_2,departamento_detectado,texto_sin_departamento,core_filtrado_2,estado_final_2,codigo_dane_final_2,nombre_dane_final_2,departamento_final_2,metodo_final_2,confianza_final_2,motivo_final_2,final_top_1_codigo,final_top_1_nombre,final_top_1_departamento,final_top_1_score,final_top_1_alias,final_top_2_codigo,final_top_2_nombre,final_top_2_departamento,final_top_2_score,final_top_2_alias,final_top_3_codigo,final_top_3_nombre,final_top_3_departamento,final_top_3_score,final_top_3_alias
BOLIVAR,BOLIVAR,BOLIVAR,,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,19100,BOLÍVAR,CAUCA,100.0,68101,BOLÍVAR,SANTANDER,100.0,76100,BOLÍVAR,VALLE DEL CAUCA,100.0,BOLIVAR,BOLIVAR,,,PENDIENTE,,,,,,texto limpio vacío tras normalización,76100,BOLÍVAR,VALLE DEL CAUCA,100.0,BOLIVAR,13244,EL CARMEN DE BOLÍVAR,BOLÍVAR,74.67,CARMEN BOLIVAR,05101,CIUDAD BOLÍVAR,ANTIOQUIA,66.67,CIUDAD BOLIVAR
BOOTÁ,BOOTA,BOOTA,BOOTA,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,15755,SOCOTÁ,BOYACÁ,72.73,15097,BOAVITA,BOYACÁ,66.67,11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",66.67,BOOTA,,BOOTA,BOOTA,PENDIENTE,,,,,,"mejor fuzzy insuficiente (90.91, margen 18.18)",11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",90.91,BOGOTA,15755,SOCOTÁ,BOYACÁ,72.73,SOCOTA,15097,BOAVITA,BOYACÁ,66.67,BOAVITA
CALDAS,CALDAS,CALDAS,,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,5129,CALDAS,ANTIOQUIA,100.0,15131,CALDAS,BOYACÁ,100.0,76020,ALCALÁ,VALLE DEL CAUCA,66.67,CALDAS,CALDAS,,,PENDIENTE,,,,,,texto limpio vacío tras normalización,15131,CALDAS,BOYACÁ,100.0,CALDAS,17013,AGUADAS,CALDAS,69.54,AGUADAS,25377,LA CALERA,CUNDINAMARCA,66.67,CALERA
CALEVALLE DEL CAUCA,CALEVALLE DEL CAUCA,CALEVALLE DEL CAUCA,CALEVALLE DEL,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,86865,VALLE DEL GUAMUEZ,PUTUMAYO,60.0,73622,RONCESVALLES,TOLIMA,56.0,68855,VALLE DE SAN JOSÉ,SANTANDER,53.33,CALEVALLE DEL CAUCA,CAUCA,CALEVALLE DEL,CALEVALLE,PENDIENTE,,,,,,mejor fuzzy contradice departamento detectado,25377,LA CALERA,CUNDINAMARCA,66.67,CALERA,73622,RONCESVALLES,TOLIMA,66.67,RONCESVALLES,86865,VALLE DEL GUAMUEZ,PUTUMAYO,63.64,VALLE GUAMUEZ
Caldas Ant,CALDAS ANT,CALDAS ANT,ANT,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,25436,MANTA,CUNDINAMARCA,75.0,8436,MANATÍ,ATLÁNTICO,66.67,41306,GIGANTE,HUILA,60.0,CALDAS ANT,CALDAS,ANT,ANT,PENDIENTE,,,,,,mejor fuzzy contradice departamento detectado,25436,MANTA,CUNDINAMARCA,75.0,MANTA,08436,MANATÍ,ATLÁNTICO,66.67,MANATI,68418,LOS SANTOS,SANTANDER,66.67,SANTOS
Cúcuta  Santander,CUCUTA SANTANDER,CUCUTA SANTANDER,CUCUTA,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,54223,CUCUTILLA,NORTE DE SANTANDER,80.0,15224,CUCAITA,BOYACÁ,76.92,25224,CUCUNUBÁ,CUNDINAMARCA,71.43,CUCUTA SANTAN DER,SANTAN DER,CUCUTA,CUCUTA,PENDIENTE,,,,,,alias manual contradice departamento detectado (SANTAN DER),54001,SAN JOSÉ DE CÚCUTA,NORTE DE SANTANDER,100.0,CUCUTA,54223,CUCUTILLA,NORTE DE SANTANDER,80.0,CUCUTILLA,15224,CUCAITA,BOYACÁ,76.92,CUCAITA
PICHINCHA SANTANDER,PICHINCHA SANTANDER,PICHINCHA SANTANDER,PICHINCHA,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,17174,CHINCHINÁ,CALDAS,77.78,54172,CHINÁCOTA,NORTE DE SANTANDER,66.67,68549,PINCHOTE,SANTANDER,62.82,PICHINCHA SANTAN DER,SANTAN DER,PICHINCHA,PICHINCHA,PENDIENTE,,,,,,mejor fuzzy contradice departamento detectado,17174,CHINCHINÁ,CALDAS,77.78,CHINCHINA,68549,PINCHOTE,SANTANDER,66.82,PINCHOTE,54172,CHINÁCOTA,NORTE DE SANTANDER,66.67,CHINACOTA
SANTIAGO DE CALI DEL CAUCA,SANTIAGO DE CALI DEL CAUCA,SANTIAGO DE CALI DEL CAUCA,SANTIAGO DE CALI DEL,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,76001,SANTIAGO DE CALI,VALLE DEL CAUCA,88.89,70820,SANTIAGO DE TOLÚ,SUCRE,72.22,66682,SANTA ROSA DE CABAL,RISARALDA,66.67,SANTIAGO DE CALI DEL CAUCA,CAUCA,SANTIAGO DE CALI DEL,SANTIAGO CALI,PENDIENTE,,,,,,alias manual contradice departamento detectado (CAUCA),76001,SANTIAGO DE CALI,VALLE DEL CAUCA,100.0,SANTIAGO CALI,86760,SANTIAGO,PUTUMAYO,76.19,SANTIAGO,13673,SANTA CATALINA,BOLÍVAR,74.07,SANTA CATALINA
SANTICALI,SANTICALI,SANTICALI,SANTICALI,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,76001,SANTIAGO DE CALI,VALLE DEL CAUCA,72.0,54680,SANTIAGO,NORTE DE SANTANDER,70.59,86760,SANTIAGO,PUTUMAYO,70.59,SANTICALI,,SANTICALI,SANTICALI,PENDIENTE,,,,,,"mejor fuzzy insuficiente (81.82, margen 11.23)",86760,SANTIAGO,PUTUMAYO,70.59,SANTIAGO,66687,SANTUARIO,RISARALDA,66.67,SANTUARIO,70820,SANTIAGO DE TOLÚ,SUCRE,63.64,SANTIAGO TOLU
ronaldillo velle del cauca,RONALDILLO VELLE DEL CAUCA,RONALDILLO VELLE DEL CAUCA,RONALDILLO VELLE DEL,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,76622,ROLDANILLO,VALLE DEL CAUCA,53.33,13300,HATILLO DE LOBA,BOLÍVAR,51.43,73861,VENADILLO,TOLIMA,48.28,RONALDILLO VELLE DEL CAUCA,CAUCA,RONALDILLO VELLE DEL,RONALDILLO VELLE,PENDIENTE,,,,,,mejor fuzzy contradice departamento detectado,76622,ROLDANILLO,VALLE DEL CAUCA,76.92,RONALDILLO,54874,VILLA DEL ROSARIO,NORTE DE SANTANDER,62.07,VILLA ROSARIO,18247,EL DONCELLO,CAQUETÁ,59.26,EL DONCELLO
