nombre_normalizado,nombre_oficial,tipo,fuente,municipio,departamento,sector,estado
ABASTOS GUADALAJARA DE BUGA,ABASTOS GUADALAJARA DE BUGA,publica,gov,GUADALAJARA DE BUGA,VALLE DEL CAUCA,NO APLICA,ACTIVA
ACADEMIA DE HISTORIA DEL DEPARTAMENTO DE ARAUCA ARAUCA,ACADEMIA DE HISTORIA DEL DEPARTAMENTO DE ARAUCA  ARAUCA,publica,gov,ARAUCA,ARAUCA,NO APLICA,ACTIVA
ACUEDUCTO REGIONAL AGUA BLANCA CLAROS GARZON,ACUEDUCTO REGIONAL AGUA BLANCA CLAROS GARZON,publica,gov,GARZÓN,HUILA,NO APLICA,ACTIVA
ADMINISTRACION COOPERATIVA DE ENTIDADES DE SALUD DE CALDAS Y QUINDIO COODESCA,ADMINISTRACION COOPERATIVA DE ENTIDADES DE SALUD DE CALDAS Y QUINDIO (COODESCA),publica,gov,MANIZALES,CALDAS,NO APLICA,ACTIVA
ADMINISTRACION COOPERATIVA DE SERVICIOS PUBLICOS DE ACUEDUCTO ALCANTARILLADO Y ASEO AGUAS DE BOLIVAR,ADMINISTRACION COOPERATIVA DE SERVICIOS PUBLICOS DE ACUEDUCTO ALCANTARILLADO Y ASEO AGUAS DE BOLIVAR,publica,gov,BOLÍVAR,SANTANDER,NO APLICA,ACTIVA
ADMINISTRACION COOPERATIVA PRESTADORA DE SERVICIOS PUBLICOS DOMICILIARIOS DE ACUEDUCTO ALCALTARILLADO Y ASEO DE CUCAITA,"ADMINISTRACION COOPERATIVA PRESTADORA DE SERVICIOS PUBLICOS DOMICILIARIOS DE ACUEDUCTO, ALCALTARILLADO Y ASEO DE CUCAITA",publica,gov,CUCAITA,BOYACÁ,NO APLICA,ACTIVA
ADMINISTRACION PUBLICA AGUAS DEL FRAILEJON,ADMINISTRACION PUBLICA AGUAS DEL FRAILEJON,publica,gov,GUALMATÁN,NARIÑO,NO APLICA,ACTIVA
ADMINISTRACION PUBLICA COOPERATIVA AAA LA BELLEZANA,ADMINISTRACION PUBLICA COOPERATIVA AAA LA BELLEZANA,publica,gov,LA BELLEZA,SANTANDER,NO APLICA,ACTIVA
ADMINISTRACION PUBLICA COOPERATIVA AAA SUR DE SANTA ROSA DEL SUR,ADMINISTRACION PUBLICA COOPERATIVA AAA SUR DE SANTA ROSA DEL SUR,publica,gov,SANTA ROSA DEL SUR,BOLÍVAR,NO APLICA,ACTIVA
ADMINISTRACION PUBLICA COOPERATIVA DE ACUEDUCTO ALCANTARILLADO Y ASEO DE ROSALIA,"ADMINISTRACION PUBLICA COOPERATIVA DE ACUEDUCTO, ALCANTARILLADO Y ASEO DE ROSALIA",publica,gov,SANTA ROSALÍA,VICHADA,NO APLICA,ACTIVA
