codigo_dane,nombre,departamento,nombre_normalizado
5001,MEDELLÍN,ANTIOQUIA,MEDELLIN
5002,ABEJORRAL,ANTIOQUIA,ABEJORRAL
5004,ABRIAQUÍ,ANTIOQUIA,ABRIAQUI
5021,ALEJANDRÍA,ANTIOQUIA,ALEJANDRIA
5030,AMAGÁ,ANTIOQUIA,AMAGA
5031,AMALFI,ANTIOQUIA,AMALFI
5034,ANDES,ANTIOQUIA,ANDES
5036,ANGELÓPOLIS,ANTIOQUIA,ANGELOPOLIS
5038,ANGOSTURA,ANTIOQUIA,ANGOSTURA
5040,ANORÍ,ANTIOQUIA,ANORI
5042,SANTA FÉ DE ANTIOQUIA,ANTIOQUIA,SANTA FE DE ANTIOQUIA
5044,ANZÁ,ANTIOQUIA,ANZA
5045,APARTADÓ,ANTIOQUIA,APARTADO
5051,ARBOLETES,ANTIOQUIA,ARBOLETES
5055,ARGELIA,ANTIOQUIA,ARGELIA
5059,ARMENIA,ANTIOQUIA,ARMENIA
5079,BARBOSA,ANTIOQUIA,BARBOSA
5086,BELMIRA,ANTIOQUIA,BELMIRA
5088,BELLO,ANTIOQUIA,BELLO
5091,BETANIA,ANTIOQUIA,BETANIA
5093,BETULIA,ANTIOQUIA,BETULIA
5101,CIUDAD BOLÍVAR,ANTIOQUIA,CIUDAD BOLIVAR
5107,BRICEÑO,ANTIOQUIA,BRICENO
5113,BURITICÁ,ANTIOQUIA,BURITICA
5120,CÁCERES,ANTIOQUIA,CACERES
5125,CAICEDO,ANTIOQUIA,CAICEDO
5129,CALDAS,ANTIOQUIA,CALDAS
5134,CAMPAMENTO,ANTIOQUIA,CAMPAMENTO
5138,CAÑASGORDAS,ANTIOQUIA,CANASGORDAS
5142,CARACOLÍ,ANTIOQUIA,CARACOLI
5145,CARAMANTA,ANTIOQUIA,CARAMANTA
5147,CAREPA,ANTIOQUIA,CAREPA
5148,EL CARMEN DE VIBORAL,ANTIOQUIA,EL CARMEN DE VIBORAL
5150,CAROLINA,ANTIOQUIA,CAROLINA
5154,CAUCASIA,ANTIOQUIA,CAUCASIA
5172,CHIGORODÓ,ANTIOQUIA,CHIGORODO
5190,CISNEROS,ANTIOQUIA,CISNEROS
5197,COCORNÁ,ANTIOQUIA,COCORNA
5206,CONCEPCIÓN,ANTIOQUIA,CONCEPCION
5209,CONCORDIA,ANTIOQUIA,CONCORDIA
5212,COPACABANA,ANTIOQUIA,COPACABANA
5234,DABEIBA,ANTIOQUIA,DABEIBA
5237,DONMATÍAS,ANTIOQUIA,DONMATIAS
5240,EBÉJICO,ANTIOQUIA,EBEJICO
5250,EL BAGRE,ANTIOQUIA,EL BAGRE
5264,ENTRERRÍOS,ANTIOQUIA,ENTRERRIOS
5266,ENVIGADO,ANTIOQUIA,ENVIGADO
5282,FREDONIA,ANTIOQUIA,FREDONIA
5284,FRONTINO,ANTIOQUIA,FRONTINO
5306,GIRALDO,ANTIOQUIA,GIRALDO
5308,GIRARDOTA,ANTIOQUIA,GIRARDOTA
5310,GÓMEZ PLATA,ANTIOQUIA,GOMEZ PLATA
5313,GRANADA,ANTIOQUIA,GRANADA
5315,GUADALUPE,ANTIOQUIA,GUADALUPE
5318,GUARNE,ANTIOQUIA,GUARNE
5321,GUATAPÉ,ANTIOQUIA,GUATAPE
5347,HELICONIA,ANTIOQUIA,HELICONIA
5353,HISPANIA,ANTIOQUIA,HISPANIA
5360,ITAGÜÍ,ANTIOQUIA,ITAGUI
5361,ITUANGO,ANTIOQUIA,ITUANGO
5364,JARDÍN,ANTIOQUIA,JARDIN
5368,JERICÓ,ANTIOQUIA,JERICO
5376,LA CEJA,ANTIOQUIA,LA CEJA
5380,LA ESTRELLA,ANTIOQUIA,LA ESTRELLA
5390,LA PINTADA,ANTIOQUIA,LA PINTADA
5400,LA UNIÓN,ANTIOQUIA,LA UNION
5411,LIBORINA,ANTIOQUIA,LIBORINA
5425,MACEO,ANTIOQUIA,MACEO
5440,MARINILLA,ANTIOQUIA,MARINILLA
5467,MONTEBELLO,ANTIOQUIA,MONTEBELLO
5475,MURINDÓ,ANTIOQUIA,MURINDO
5480,MUTATÁ,ANTIOQUIA,MUTATA
5483,NARIÑO,ANTIOQUIA,NARINO
5490,NECOCLÍ,ANTIOQUIA,NECOCLI
5495,NECHÍ,ANTIOQUIA,NECHI
5501,OLAYA,ANTIOQUIA,OLAYA
5541,PEÑOL,ANTIOQUIA,PENOL
5543,PEQUE,ANTIOQUIA,PEQUE
5576,PUEBLORRICO,ANTIOQUIA,PUEBLORRICO
5579,PUERTO BERRÍO,ANTIOQUIA,PUERTO BERRIO
5585,PUERTO NARE,ANTIOQUIA,PUERTO NARE
5591,PUERTO TRIUNFO,ANTIOQUIA,PUERTO TRIUNFO
5604,REMEDIOS,ANTIOQUIA,REMEDIOS
5607,RETIRO,ANTIOQUIA,RETIRO
5615,RIONEGRO,ANTIOQUIA,RIONEGRO
5628,SABANALARGA,ANTIOQUIA,SABANALARGA
5631,SABANETA,ANTIOQUIA,SABANETA
5642,SALGAR,ANTIOQUIA,SALGAR
5647,SAN ANDRÉS DE CUERQUÍA,ANTIOQUIA,SAN ANDRES DE CUERQUIA
5649,SAN CARLOS,ANTIOQUIA,SAN CARLOS
5652,SAN FRANCISCO,ANTIOQUIA,SAN FRANCISCO
5656,SAN JERÓNIMO,ANTIOQUIA,SAN JERONIMO
5658,SAN JOSÉ DE LA MONTAÑA,ANTIOQUIA,SAN JOSE DE LA MONTANA
