cuenta_judicial,codigo_ciudad,codigo_entidad,correo
00700613763,11001,01566,correspondencia@supernotariado.gov.co
037569999537,5088,06726,embargos@bello.gov.co
050001001001,5001,00174,tadmin01anq@notificacionesrj.gov.co
050009196052,5001,00019,yorozco@sena.edu.co
050012031001,5001,00046,ccto01me@cendoj.ramajudicial.gov.co
050012031002,5001,00047,cmp102med@cendoj.ramajudicial.gov.co
050012031003,5001,00048,correoccto03me@cendoj.ramajudicial.gov.co
050012031005,5001,00050,ccto05me@cendoj.ramajudicial.gov.co
050012031008,5001,00053,ccto08me@cendoj.ramajudicial.gov.co
050012031011,5001,00056,ccto11me@cendoj.ramajudicial.gov.co
