id,rev,revtype,identificacion,nombres,embargo_id,tipo_identificacion_tipo
1,1,0,,ALCALDÍA DE SANTIAGO DE CALI ,23050300001,
2,2,0,,ALCALDÍA DE SANTIAGO DE CALI ,23050300002,
3,3,0,8040097528,FINANCIERA COOMULTRASAN ,23050300003,NIT
4,4,0,No existe,Orden ,23050300004,CEDULA
4,151,1,1, JUZGADO CUARTO DE PEQUEAS CAUSAS Y COMPETENCIA MULTIPLE DE CARTAGENA,23050300004,NIT
4,707,1, 8903002794, BANCO DE OCCIDENTE,23050300004,NIT
5,4,0,No existe,JUZGADO CUARTO DE PEQUEÑAS ,23050300004,CEDULA
5,150,2,,,,
6,4,0,No existe,Orden ,23050300005,CEDULA
6,174,2,,,,
