id,identificacion,nombres,embargo_id,tipo_identificacion_tipo
1,,ALCALDÍA DE SANTIAGO DE CALI ,23050300001,
2,,ALCALDÍA DE SANTIAGO DE CALI ,23050300002,
3,8040097528,FINANCIERA COOMULTRASAN ,23050300003,NIT
4, 8903002794, BANCO DE OCCIDENTE,23050300004,NIT
7, 9010040204, CONJUNTO RESIDENCIAL TERRAZAS DE CALICANTO,23050300005,NIT
9, 8600073354, BANCO CAJA SOCIAL SA,23050300006,NIT
10, 9010040204, CONJUNTO RESIDENCIAL TERRAZAS DE CALICANTO,23050300007,NIT
13, 9010040204, CONJUNTO RESIDENCIAL TERRAZAS DE CALICANTO,23050300008,NIT
15, 9010040204, CONJUNTO RESIDENCIAL TERRAZAS DE CALICANTO,23050300009,NIT
17, 8901021299, FUNDACIN SANTO DOMINGO FSD,23050300010,NIT
