id,identificacion,nombres,embargo_id,tipo_identificacion_tipo,nombres_limpio,Código_Departamento,Nombre_Departamento,Código_Municipio,Nombre_Municipio,Código_Entidad,Nombre_Entidad,Tipo,Longitud,Latitud,Nombre_Municipio_limpio
1,,ALCALDÍA DE SANTIAGO DE CALI ,23050300001,,ALCALDIA DE SANTIAGO DE CALI,,,,,,,,,,
2,,ALCALDÍA DE SANTIAGO DE CALI ,23050300002,,ALCALDIA DE SANTIAGO DE CALI,,,,,,,,,,
3,8040097528.0,FINANCIERA COOMULTRASAN ,23050300003,NIT,FINANCIERA COOMULTRASAN,,,,,,,,,,
4,8903002794.0, BANCO DE OCCIDENTE,23050300004,NIT,BANCO DE OCCIDENTE,,,,,,,,,,
7,9010040204.0, CONJUNTO RESIDENCIAL TERRAZAS DE CALICANTO,23050300005,NIT,CONJUNTO RESIDENCIAL TERRAZAS DE CALICANTO,,,,,,,,,,
9,8600073354.0, BANCO CAJA SOCIAL SA,23050300006,NIT,BANCO CAJA SOCIAL SA,,,,,,,,,,
10,9010040204.0, CONJUNTO RESIDENCIAL TERRAZAS DE CALICANTO,23050300007,NIT,CONJUNTO RESIDENCIAL TERRAZAS DE CALICANTO,,,,,,,,,,
13,9010040204.0, CONJUNTO RESIDENCIAL TERRAZAS DE CALICANTO,23050300008,NIT,CONJUNTO RESIDENCIAL TERRAZAS DE CALICANTO,,,,,,,,,,
15,9010040204.0, CONJUNTO RESIDENCIAL TERRAZAS DE CALICANTO,23050300009,NIT,CONJUNTO RESIDENCIAL TERRAZAS DE CALICANTO,,,,,,,,,,
17,8901021299.0, FUNDACIN SANTO DOMINGO FSD,23050300010,NIT,FUNDACIN SANTO DOMINGO FSD,,,,,,,,,,
