id,attempt,date_resp,date_send,file_resp_path,file_send_path,id_resp,id_send,message_resp,message_send,recipient_send,sender_resp,status,status_detail,subject_resp,subject_send,notification_group_id,last_updated
1,0,,2023-05-03 19:11:21,,documentos/2023/05/03/30494dec-35ca-4b51-b6c8-d5c3a3990ffc.eml,,<446670819.2.1683141085427@localhost>,,"Buenos Días, Nos permitimos adjuntar respuesta atendiendo la debida forma al Oficio No. 2023 462 recibido en el Banco Santander de negocios Colombia SA. Con esta información hemos atendido el oficio en referencia. Cualquier aclaración enviar correo a Noti",j18prpcbquilla@cendoj.ramajudicial.gov.co,,NOTIFICADO,,,Respuesta Comunicado - Oficio No. 2023 462,1,
2,0,,2023-05-03 19:11:47,,documentos/2023/05/03/253814a5-fdb6-451a-bc64-0c161a6fc94d.eml,,<1291961060.5.1683141109079@localhost>,,"Buenos Días, Nos permitimos adjuntar respuesta atendiendo la debida forma al Oficio No. 20230226001181 recibido en el Banco Santander de negocios Colombia SA. Con esta información hemos atendido el oficio en referencia. Cualquier aclaración enviar correo ",corresp_entrada_bmanga@dian.gov.co,,NOTIFICADO,,,Respuesta Comunicado - Oficio No.  2023022600,2,
3,0,2023-05-03 19:12:42,2023-05-03 19:12:30,documentos/2023/05/03/19c5acc8-42c2-4f7c-afa2-6f8b6bb92c03.eml,documentos/2023/05/03/9eab50a3-c37b-45c9-99c2-d374b4ca7625.eml,<d21f672bbc994f4eb49cf295d809ffce@BN0PR01MB7085.prod.exchangelabs.com>,<278851790.8.1683141151218@localhost>,"Caution: EXTERNAL EMAIL; use caution with links and attachments ﻿ Juzgado 6 de Pequeñas Causas y Competencias Múltiples de Cartagena Casa De Justicia Avenida el consulado carrera 65 # 30 - 35, barrios las delicias - manzana c . edificio castellana mall - ","Buenos Días, Nos permitimos adjuntar respuesta atendiendo la debida forma al Oficio No. 00607 recibido en el Banco Santander de negocios Colombia SA. Con esta información hemos atendido el oficio en referencia. Cualquier aclaración enviar correo a Notific",J06pcprcgena@cendoj.ramajudicial.gov.co,=?utf-8?B?SnV6Z2FkbyAwNiBQZXF1ZcOxYXMgQ2F1c2FzIFByb21pc2N1byAtIEJvbGl2?= =?utf-8?Q?ar_-_Cartagena?= <j06pcprcgena@cendoj.ramajudicial.gov.co>,ERROR,ERROR_REBOTE,Respuesta automática: Respuesta Comunicado - ,Respuesta Comunicado - Oficio No. 00607,3,
4,0,,2023-05-03 19:28:02,,documentos/2023/05/03/16a5678b-bc0f-4ef6-8bc2-4d5b3409877e.eml,,<1449819271.11.1683142082357@localhost>,,"Buenos Días, Nos permitimos adjuntar respuesta atendiendo la debida forma al Oficio No. 2023 438 recibido en el Banco Santander de negocios Colombia SA. Con esta información hemos atendido el oficio en referencia. Cualquier aclaración enviar correo a Noti",j18prpcbquilla@cendoj.ramajudicial.gov.co,,NOTIFICADO,,,Respuesta Comunicado - Oficio No. 2023 438,4,
5,0,2023-05-03 20:14:37,2023-05-03 19:28:30,documentos/2023/05/03/68830b87-8fc3-47d4-9e6e-3e8f4ec8d73f.eml,documentos/2023/05/03/72039828-085c-45df-af5c-a3712f702916.eml,<CH2PR06MB64551831332781019FB97856926C9@CH2PR06MB6455.namprd06.prod.outlook.com>,<1327875734.14.1683142111230@localhost>,"Caution: EXTERNAL EMAIL; use caution with links and attachments Entrega Correspondencia virtual Radicado No. 013E2023004687 – BANCO SANTANDER DE NEGOCIOS COLOMBIA S A Cordial Saludo, Gracias por contactarnos, para la Dirección de Impuestos y Aduanas Nacio","Buenos Días, Nos permitimos adjuntar respuesta atendiendo la debida forma al Oficio No. 20230226000773 recibido en el Banco Santander de negocios Colombia SA. Con esta información hemos atendido el oficio en referencia. Cualquier aclaración enviar correo ",corresp_entrada_neiva@dian.gov.co,corresp_entrada_neiva <corresp_entrada_neiva@dian.gov.co>,RECIBIDO,,RV: Respuesta Comunicado - Oficio No. 2023022,Respuesta Comunicado - Oficio No. 20230226000,5,
6,0,,2023-05-03 19:30:36,,documentos/2023/05/03/7003caf5-3849-42b3-bd79-1aeb22f78b42.eml,,<760184534.17.1683142237049@localhost>,,"Buenos Días, Nos permitimos adjuntar respuesta atendiendo la debida forma al Oficio No. 375 recibido en el Banco Santander de negocios Colombia SA. Con esta información hemos atendido el oficio en referencia. Cualquier aclaración enviar correo a Notificac",J05ccbuc@cendoj.ramajudicial.gov.co,,NOTIFICADO,,,Respuesta Comunicado - Oficio No. 375,6,
7,0,,2023-05-03 19:32:47,,documentos/2023/05/03/5b598d18-be8f-4d22-aeae-479410faa264.eml,,<1161175947.20.1683142368480@localhost>,,"Buenos Días, Nos permitimos adjuntar respuesta atendiendo la debida forma al Oficio No. 00602 recibido en el Banco Santander de negocios Colombia SA. Con esta información hemos atendido el oficio en referencia. Cualquier aclaración enviar correo a Notific",J06pcprcgena@cendoj.ramajudicial.gov.co,,NOTIFICADO,,,Respuesta Comunicado - Oficio No. 00602,7,
8,0,2023-05-03 19:36:58,2023-05-03 19:34:50,documentos/2023/05/03/97074727-23a5-48c8-96fb-85034bf6a82e.eml,documentos/2023/05/03/99758338-3695-4629-8d21-4e37b6a6b979.eml,<d1e80ba171dc4596bd7eb4118a21a7d9@SN6PR06MB4848.namprd06.prod.outlook.com>,<1070566327.23.1683142491279@localhost>,"Caution: EXTERNAL EMAIL; use caution with links and attachments Atendiendo los lineamientos establecidos en la Circular Externa No. 0008 del 1° de octubre de 2021. Los buzones corporativos, creados para recibir comunicaciones oficiales estarán activos en ","Buenos Días, Nos permitimos adjuntar respuesta atendiendo la debida forma al Oficio No. 152725550226001404 recibido en el Banco Santander de negocios Colombia SA. Con esta información hemos atendido el oficio en referencia. Cualquier aclaración enviar cor",corresp_entrada_palmira@dian.gov.co,corresp_entrada_palmira <corresp_entrada_palmira@dian.gov.co>,RECIBIDO,,Respuesta automática: Respuesta Comunicado - ,Respuesta Comunicado - Oficio No. 15272555022,8,
9,0,,2023-05-03 19:35:30,,documentos/2023/05/03/6fc0b9cd-a4f7-401a-974a-c9dce05fa618.eml,,<1095819566.26.1683142530880@localhost>,,"Buenos Días, Nos permitimos adjuntar respuesta atendiendo la debida forma al Oficio No. 0298 recibido en el Banco Santander de negocios Colombia SA. Con esta información hemos atendido el oficio en referencia. Cualquier aclaración enviar correo a Notifica",j06cmplcgena@cendoj.ramajudicial.gov.co,,NOTIFICADO,,,Respuesta Comunicado - Oficio No. 0298,9,
10,0,,2023-05-03 19:36:48,,documentos/2023/05/03/bf0d40f8-8ebb-4049-8171-5cae78880b5c.eml,,<1518266267.29.1683142608980@localhost>,,"Buenos Días, Nos permitimos adjuntar respuesta atendiendo la debida forma al Oficio No. 00595 recibido en el Banco Santander de negocios Colombia SA. Con esta información hemos atendido el oficio en referencia. Cualquier aclaración enviar correo a Notific",J06pcprcgena@cendoj.ramajudicial.gov.co,,NOTIFICADO,,,Respuesta Comunicado - Oficio No. 00595,10,
