nombre_normalizado,match,nombre_oficial,tipo,fuente,municipio,departamento,sector,estado
1 ALCALDIA DISTRITAL DE CARTAGENA DE INDIAS,False,,,,,,,
1 DEPARTAMENTO ADMINISTRATIVO DE TRANSITO Y TRANSPORTE DE CARTAGENA DATT,False,,,,,,,
150 CIVIL DEL CIRCUITO DE BARRANQUILLA,False,,,,,,,
19 CIVIL MUNICIPAL DE EJECUCION DE SENTENCIAS DE BOGOTA,False,,,,,,,
2023 44 TRIBUNAL ADMINISTRATIVO DE CUNDINAMARCA SECCION TERCERA SUB SECCION C,False,,,,,,,
2073 NOV 27 P 346 JUZGADO VEINTICUATRO CIVIL DE PEQUENAS CAUSAS Y COMPETENCIA MULTIPLE DE BOGOTA,False,,,,,,,
54 DE PEQUENAS CAUSAS,False,,,,,,,
60 DE PEQUENAS CAUSAS Y COMPETENCIA MULTIPLE,False,,,,,,,
60 DE PEQUENAS CAUSAS Y COMPETENCIA MULTIPLE DE BOGOTA D C,False,,,,,,,
63 DE PEQUENAS CAUSAS Y COMPETENCIA MULTIPLE,False,,,,,,,
A ALCALDIA DE BARRANQUILLA,False,,,,,,,
A DIRECCION SECCIONAL DE ADMINISTRACION JUDICIAL DE BOGOTA,False,,,,,,,
AALCALDIA DE NEIVA,False,,,,,,,
ABOGADA CIVIL Y DE FAMILIA,False,,,,,,,
ABOGADA ESPECIALISTA EN DERECHO ADMINISTRATIVO,False,,,,,,,
ABOGADO CRISTIAN ANDRES MORENO GAMBOA,False,,,,,,,
ABOGADO UNIVERSIDAD NACIONAL DE COLOMBIA,False,,,,,,,
ABOGADOS ALI AHMED SARASTY PRADA,False,,,,,,,
ABOGADOS CONSULTORES,False,,,,,,,
ABOGADOS DUQUE FERNANDEZ,False,,,,,,,
ABOGADOS ESPECIALIZADOS,False,,,,,,,
ABOGADOS ESPECIALIZADOS SAS,False,,,,,,,
ABOGADOS ESPECIALIZADOS SAS CONSULTORIO JURIDICO,False,,,,,,,
ABOGADOS SERVICIOS LEGALES ESPECIALIZADOS SAS,False,,,,,,,
AC INSTITUTO DE TRANSITO MUNICIPAL DE CHAPARRAL,False,,,,,,,
ACACIAS ALCALDIA,False,,,,,,,
ACACIAS DE ACACIAS,False,,,,,,,
ACALDIA DE ACACIAS,False,,,,,,,
ACALDIA DE ACAIAS,False,,,,,,,
ACALDIA DE BARRANQUILLA,False,,,,,,,
ACALDIA DE BELLO,False,,,,,,,
ACALDIA DE CALDAS,False,,,,,,,
ACALDIA DE CURUMANI,False,,,,,,,
ACALDIA DE FLORENCIA,False,,,,,,,
ACALDIA DE GIRON,False,,,,,,,
ACALDIA DE JAMUNDI,False,,,,,,,
ACALDIA DE MONTERIA,False,,,,,,,
ACALDIA DE NEIVA,False,,,,,,,
ACALDIA DE PEREIRA,False,,,,,,,
ACALDIA DE PIEDECUESTA,False,,,,,,,
ACALDIA DE SANTA MARTA,False,,,,,,,
ACALDIA DE SANTA MARTHA,False,,,,,,,
ACALDIA DE SOACHA,False,,,,,,,
ACALDIA DE SOLEDAD,False,,,,,,,
ACALDIA DE VILLAVICENCIO,False,,,,,,,
ACALDIA DISTRICAL DE CARTAGENA DE INDIAS,False,,,,,,,
ACALDIA DISTRITAL DE BARRANCABERMEJA,False,,,,,,,
ACALDIA DISTRITAL DE CARTAGENA DE INDIAS,False,,,,,,,
ACALDIA MAYOR DE CARTAGENA,False,,,,,,,
ACALDIA MUNICI0PAL LA DORADA CALDAS,False,,,,,,,
ACALDIA MUNICIPAL DE CAJAMARCA,False,,,,,,,
ACALDIA MUNICIPAL DE CIENAGA,False,,,,,,,
ACALDIA MUNICIPAL DE SINCELEJO,False,,,,,,,
ACALDIA MUNICIPAL DE YUMBO,False,,,,,,,
ACALDIA MUNICIPAL PIE DE CUESTA,False,,,,,,,
ACALDIA MUNICIPAL PIEDECUESTA,False,,,,,,,
ACALDIA MUNICIPAL PUERTO COLOMBIA,False,,,,,,,
ACALDIA MUNICPAL DE IBAGUE,False,,,,,,,
ACALDIA PAZ DE ARIPORO CASANARE,False,,,,,,,
ACALDIA VILLA DEL ROSARIO,False,,,,,,,
ACALDO MUNCIPAL DE BARBOSA,False,,,,,,,
ACTUACION JUDICIAL ABOGADOS Y CONTADORES,False,,,,,,,
ACUEDUCTO AGUA ALCANTARILLADO Y ASEO DE BOGOTA,False,,,,,,,
ACUEDUCTO AGUA Y ALCANTARILLADO DE BOGOTA,False,,,,,,,
ACUEDUCTO AGUA Y ALCANTARILLADO DE BOGOTA COLPATRIA,False,,,,,,,
ACUEDUCTO ALCANTARILLADO Y ASEO DE BOGOTA,False,,,,,,,
ACUEDUCTO ALCANTARILLADO Y ASEO DE YOPAL EAAAY,False,,,,,,,
ACUEDUCTO ALCANTARILLADO Y ASEO DE YOPAL EAAAY EICE ESP,False,,,,,,,
ACUEDUCTO Y ALCANTARILLADO A FAVOR DEL IBAL SA ESP,False,,,,,,,
ACUEDUCTO Y ALCANTARILLADO DE BOGOT EAAB ESP,False,,,,,,,
ACUEDUCTO Y ALCANTARILLADO DE BOGOTA ESP,False,,,,,,,
ADMINISTRACION MUNICIPAL,False,,,,,,,
ADMINISTRACION MUNICIPAL DE LA CEJA DEL TAMBO,False,,,,,,,
