tabla,columna
authority,name
bank_log,fecha_registro
bank_log,numero_identificacion
bank_log,nombre_completo
bank_log,entidad_bancaria_id
carta_respuesta,id
carta_respuesta,descripcion
carta_respuesta,path
carta_respuesta,embargo_id
codigo_mapeo,cuenta_judicial
codigo_mapeo,codigo_ciudad
codigo_mapeo,codigo_entidad
codigo_mapeo,correo
config_param,name
config_param,value
cuenta,id
cuenta,estado
cuenta,fecha_creacion
cuenta,fecha_vencimiento
cuenta,monto_embargado
cuenta,num_cuenta
cuenta,saldo_cuenta_fecha
cuenta,sub_tipo_cuenta
cuenta,tipo_carta
cuenta,tipo_cuenta
cuenta,demandado_id
cuenta_aud,id
cuenta_aud,rev
cuenta_aud,revtype
cuenta_aud,estado
cuenta_aud,fecha_creacion
cuenta_aud,fecha_vencimiento
cuenta_aud,monto_embargado
cuenta_aud,num_cuenta
cuenta_aud,saldo_cuenta_fecha
cuenta_aud,sub_tipo_cuenta
cuenta_aud,tipo_carta
cuenta_aud,tipo_cuenta
cuenta_aud,demandado_id
cuenta_reglas,cuenta_id
cuenta_reglas,reglas
cuenta_reglas_aud,rev
cuenta_reglas_aud,cuenta_id
cuenta_reglas_aud,reglas
cuenta_reglas_aud,revtype
custom_revision_entity,rev
custom_revision_entity,timestamp
datos_entidad,id
datos_entidad,correo
datos_entidad,cuenta_judicial
db_sequence_entidad_bancaria,next_val
demandado,demandado_type
demandado,id
demandado,embargabilidad
demandado,es_cliente
demandado,estado
demandado,expediente
demandado,fecha_procesamiento
demandado,identificacion
demandado,mensaje_error
demandado,mensaje_respuesta
demandado,montoaembargar
demandado,monto_embargado
demandado,nombres
demandado,page
demandado,tipo_carta
demandado,embargo_id
demandado,notification_group_id
demandado,tipo_identificacion_tipo
demandado,is_excel_loaded
demandado_aud,id
demandado_aud,rev
demandado_aud,demandado_type
demandado_aud,revtype
demandado_aud,embargabilidad
demandado_aud,es_cliente
demandado_aud,estado
demandado_aud,expediente
demandado_aud,fecha_procesamiento
demandado_aud,identificacion
demandado_aud,mensaje_error
demandado_aud,mensaje_respuesta
demandado_aud,montoaembargar
demandado_aud,monto_embargado
demandado_aud,nombres
demandado_aud,page
demandado_aud,tipo_carta
demandado_aud,embargo_id
demandado_aud,notification_group_id
demandado_aud,tipo_identificacion_tipo
demandado_aud,is_excel_loaded
demandado_expedientes,demandado_id
demandado_expedientes,expedientes
demandado_expedientes_aud,rev
demandado_expedientes_aud,demandado_id
demandado_expedientes_aud,expedientes
demandado_expedientes_aud,revtype
demandante,id
demandante,identificacion
demandante,nombres
demandante,embargo_id
demandante,tipo_identificacion_tipo
demandante_aud,id
demandante_aud,rev
demandante_aud,revtype
demandante_aud,identificacion
demandante_aud,nombres
demandante_aud,embargo_id
demandante_aud,tipo_identificacion_tipo
document,id
document,folder
document,id_file
